numero_controle_pncp,srp,objeto_compra,codigo_modalidade,nome_modalidade,compra_judicial
46694139000183-1-000263/2026,False,"AQUISIÇÃO DE MEDICAMENTOS PARA ATENDER MEMO 18 DE DEMANDA JUDICIAL, PACIENTES:

ANTONIO CARLOS SANCHES MALUCHES - PROCESSO Nº 1000638-13.2023.8.26.0292
SORAIA DA SILVA ? PROCESSO N°10024032920178260292
NAIR DE JESUS ARROIO GONCALES ? PROCESSO Nº 1000249-67.2019.8.26.0292
HAMILTON MOJEIKO ? PROCESSO Nº 40007420320138260292
NAIR LOURENCO RIBEIRO ? PROCESSO Nº 10051420420198260292
JOSE FRANCISCO DE ALMEIDA NETO ? PROCESSO Nº 852/2008
LUIZ MIGUEL DE ALENCAR SILVERIO ? PROCESSO 71/2010
CHRISTIAN LEITE WINANDY ? PROCESSO Nº 1005079-08.2021.8.26.0292
DANIELA OLIVEIRA SILVA CARVALHO ? PROCESSO Nº 10055835320178260292
GABRIEL HENRIQUE VITAL DE PAULA ? PROCESSO Nº 1001669-39.2021.8.26.0292
ISABELLY VITORIA PEREIRA DE SOUZA ? PROCESSO Nº 10055667520218260292
MAURA APARECIDA MACHADO COSTA ? PROCESSO Nº 1000544-12.2016.8.26.0292 
MADALENA AFONSO CARVALHO DE SOUZA AMARAL ? PROCESSO N°1000082-74.2024.8.26.0292",8,Dispensa,True
44892693000140-1-000036/2026,False,"- Aquisição de de fórmula magistral (Gabapentina, Complexo B, Codeína, Ginseng e Amitriptilina), para atendimento de mandado judicial.
",8,Dispensa,True
04384829000196-1-000175/2026,False,"AQUISIÇÃO DO MEDICAMENTO APIXABANA 2,5 MG, PARA ATENDER DEMANDA JUDICIAL, ESPECIFICAMENTE CONFORME DOCUMENTOS ANEXOS.",8,Dispensa,True
46422408000152-1-000150/2026,False,"Aquisição do medicamento pregabalina 150mg, demanda judicial de GLF.",8,Dispensa,True
07954605000160-1-000403/2026,False,"Decisão  no  Processo  Judicial  n.°  3032193-69.2023.8.06.0001, proferida  pela  1ª  Vara  da  Fazenda  Pública  da  Comarca  de  Fortaleza,  em  favor  da  requerente SANDRA  MARTA  MARQUES  FIUZA,  para  o  fornecimento  do  MEDICAMENTO  VERZENIOS (ABEMACICLIBE),  conforme  relatório  médico",8,Dispensa,True
04384829000196-1-000156/2026,False,"FORNECIMENTO DO MEDICAMENTO OCTREOTIDA 0,1 MG/ML, PARA CUMPRIMENTO DE DECISÃO JUDICIAL, EM FAVOR DA PACIENTE PARA O PACIENTE MARIA EDUARDA CARVALHO ANDRADE, CONFORME TERMO DE REFERÊNCIA E DEMAIS DOCUMENTOS ANEXOS.",8,Dispensa,True
12440744000106-1-000051/2026,False,Medicamento judicial,8,Dispensa,True
46362661000168-1-000719/2026,False,AQUISICAO DE INSULINA PARA ATENDIMENTO DE DEMANDA JUDICIAL DE 1  GUILHERME LEANDRO GILDO N  1004908 75.2018.8.26.0318 E 2  LUCIANO AP. MARTINS N  30065553 77.2018.8.26.0318,8,Dispensa,True
07954605000160-1-000418/2026,False,"Decisão  no  Processo  Judicial  n.°  3031657-87.2025.8.06.0001, proferida  pela  9ª  Vara  da  Fazenda  Pública  da  Comarca  de  Fortaleza, em  favor  do  requerente FRANCISCO  DE  ASSIS  QUEIROZ  NOGUEIRA,  para  o  fornecimento  dos  MEDICAMENTOS ONCOLÓGICOS DARATUMUMABE (DALINVI), LENALIDOMIDA (REVLIMID) E DEXAMETAZONA, conforme prescrição médica e decisão judicial",8,Dispensa,True
07954605000160-1-000424/2026,False,"Decisão  no  Processo  Judicial  n.°  3001609-22.2023.8.06.0000, proferida pela 2ª Câmara de Direito Público do Ceará, em favor da requerente MARIA BENICE ARAÚJO  SILVA,  para  o  fornecimento  dos  MEDICAMENTOS  ABEMACICLIBE  (VERZENIOS) 150MG  E  ANASTRAZOL  1MG,  conforme  relatório  médico",8,Dispensa,True
07954605000160-1-000457/2026,False,"Decisão  no  Processo  Judicial  n.°  3017458-94.2024.8.06.0001, proferida  pela  2ª  Vara  da  Fazenda  Pública  da  Comarca  de  Fortaleza,  em  favor  da  requerente CARLA GERALDA TEIXEIRA DE OLIVEIRA, para o fornecimento do  medicamento OMALIZUMABE  (XOLAIR)  150  MG  -  02  AMPOLAS,  conforme  prescrição  médica  e  decisão judicial.",8,Dispensa,True
07954605000160-1-000468/2026,False,"Decisão  no  Processo  Judicial  n.°  0284240-53.2024.8.06.0001, proferida  pela  9ª  Vara  da  Fazenda  Pública  da  Comarca  de  Fortaleza, em  favor  do  requerente JOAQUIM HÉRCULOS FREITAS DOS SANTOS, para o fornecimento do medicamento DUPILUMABE, conforme prescrição médica e decisão judicial.",8,Dispensa,True
07954605000160-1-000486/2026,False,"Decisão  no  Processo  Judicial  n.°  3031657-87.2025.8.06.0001, proferida  pela  9ª  Vara  da  Fazenda  Pública  da  Comarca  de  Fortaleza, em  favor  do  requerente FRANCISCO DE ASSIS QUEIROZ NOGUEIRA, para o fornecimento dos medicamentos ARATUMUMABE, LENALIDOMIDA e DEXAMETASONA, por tempo indeterminado, conforme prescrição médica e decisão judicial",8,Dispensa,True
07954605000160-1-000487/2026,False,"Decisão  no  Processo  Judicial  n.°  3031657-87.2025.8.06.0001, proferida  pela  9ª  Vara  da  Fazenda  Pública  da  Comarca  de  Fortaleza, em  favor  do  requerente FRANCISCO DE ASSIS QUEIROZ NOGUEIRA, para o fornecimento dos medicamentos ARATUMUMABE, LENALIDOMIDA e DEXAMETASONA, por tempo indeterminado, conforme prescrição médica e decisão judicial.",8,Dispensa,True
46634564000187-1-000345/2026,False,AQUISIÇÃO DE MEDICAMENTO JUDICIAL,8,Dispensa,True
07954605000160-1-000516/2026,False,"Decisão  no  Processo  Judicial  n.°  0284240-53.2024.8.06.0001, proferida  pela  9ª  Vara  da  Fazenda  Pública  da  Comarca  de  Fortaleza, em  favor  do  requerente JOAQUIM HÉRCULOS FREITAS DOS SANTOS, para o fornecimento do medicamento DUPILUMABE, conforme prescrição médica e decisão judicial.",8,Dispensa,True
03107539000132-1-000063/2026,False,"DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO PARCELADA DE MEDICAMENTOS E INSUMOS DE ORDEM JUDICIAL FRACASSADOS NO PROCESSO 122/2025 E 8/2026, PARA ATENDER OS MUNÍCIPES QUE FAZEM JUS AO BENEFÍCIO, EM ATENDIMENTO A SECRETARIA MUNICIPAL DE SAÚDE DE PORTO MURTINHO/MS, PARA UM PERÍODO DE 12 (DOZE) MESES",8,Dispensa,True
04384829000196-1-000179/2026,False,"AQUISIÇÃO DO MEDICAMENTO VARFARINA SODICA 2,5 MG E VARFARINA SODICA 5,0 MG (MAREVAN 2,5 MG E 5,0 MG), EM CUMPRIMENTO À DEMANDA JUDICIAL, EM FAVOR DA PACIENTE FRANCILENE DANTAS DE MEDEIROS CARDOSO, CONFORME DOCUMENTAÇÃO ANEXA.",8,Dispensa,True
46435921000188-1-000021/2026,False,AQUISICAO DE MEDICAMENTO ATEZOLIZUMABE 1.200 MG EM 20ML 60 MG ML AMPOLA COM 20ML  PARA ATENDIMENTO DE ORDEM JUDICIAL. SOLICITADO PELA GERENTE DE SAUDE DA PREFEITURA DE DIVINOLANDIA   SP,8,Dispensa,True
46523288000180-1-000016/2026,False,AQUISIÇÃO DE MEDICAMENTOS PARA CUMPRIMENTO DE ORDEM JUDICIAL.,8,Dispensa,True
45132495000140-1-000171/2026,False,AQUISICAO MEDICAMENTO / MANDADO JUDICIAL,8,Dispensa,True
45132495000140-1-000173/2026,False,AQUISICAO MEDICAMENTO / MANDADO JUDICIAL,8,Dispensa,True
45132495000140-1-000181/2026,False,AQUISICAO MEDICAMENTO / MANDADO JUDICIAL,8,Dispensa,True
45132495000140-1-000184/2026,False,AQUISICAO MEDICAMENTO / MANDADO JUDICIAL,8,Dispensa,True
45132495000140-1-000178/2026,False,AQUISICAO MEDICAMENTO / MANDADO JUDICIAL,8,Dispensa,True
45301652000102-1-000296/2026,False,FORNECIMENTO DE MEDICAÇÃO DE ORDEM JUDICIAL – QUETIAPINA 100 MG,8,Dispensa,True
80673411000187-1-000121/2026,False,"Registro de preços para futura e eventual Aquisição de medicamentos e suplemento alimentar, por Dispensa de Licitação, para atendimento da demanda da Gerência de Bens Judiciais – GEJUD.",8,Dispensa,True
46362927000172-1-000286/2026,False,AQUISICAO DE MEDICAMENTOS DESTINADOS EXCLUSIVAMENTE AO ATENDIMENTO DE PROCESSOS JUDICIAIS,8,Dispensa,True
13927801000572-1-000093/2026,False,"(720 unidades – CP) de FORMOTEROL, FUMARATO DE 12 mcg & BUDESONIDA 400 mcg CAP, para fins de cumprimento imediato da Decisão Judicial em favor da paciente R.C.L.S.",8,Dispensa,True
18025940000109-1-000069/2026,False,"Dispensa de licitação para aquisição de insulina degludeca destinados ao cumprimento de determinações judiciais, conforme solicitação da Secretaria Municipal de Saúde (SEMSA). Processo n°0054813112018 e processo n°5002874-33.2020.8.13.0324",8,Dispensa,True
18296632000100-1-000087/2026,False,"Aquisição de medicamento ARIPIPRAZOL 20 MG destinado ao atendimento de  demanda administrativa, considerando o acompanhamento judicial da menor tutelada pela rede públca.",8,Dispensa,True
24513574000121-1-000022/2026,False,"[Portal de Compras Públicas] - AQUISIÇÃO DE MEDICAMENTOS, INSUMOS E SUPLEMENTOS DE USO CONTÍNUO PARA ATENDER AS DEMANDAS JUDICIAIS EM CARÁTER DE EMERGÊNCIA NO PERÍODO DE 180 DIAS",8,Dispensa,True
46319000000150-1-000134/2026,False,FORNECIMENTO DE DIVALPROATO DE SÓDIO E RIVAROXABANA 10 MG PARA MANDADO JUDICIAL,8,Dispensa,True
08778268000160-1-000245/2026,False,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO PARA ATENDER A DETERMINAÇÃO JUDICIAL DE DISPENSAÇÃO,8,Dispensa,True
46374500000194-1-002202/2026,False,AQUISIÇÃO DE MEDICAMENTO PARA ATENDER AÇÕES JUDICIAIS,9,Inexigibilidade,True
46374500000194-1-002203/2026,False,AQUISIÇÃO DE MEDICAMENTO PARA ATENDER AÇÕES JUDICIAIS,9,Inexigibilidade,True
46374500000194-1-002205/2026,False,AQUISIÇÃO DE ACESSÓRIO PARA BOMBA DE INFUSÃO PARA ATENDER AÇÕES JUDICIAIS,9,Inexigibilidade,True
73357469000156-1-000051/2026,False,"AQUISIÇÃO DE SISTEMA INTEGRADO DE INFUSÃO DE INSULINA, E TODOS OS COMPONENTES/INSUMOS NECESSÁRIOS À SUA OPERACIONALIZAÇÃO, PARA ATENDIMENTO A PACIENTE IZABELA ANDRADE NASCIMENTO, CONFORME PROCESSO JUDICIAL 0148.08.061014-7.",9,Inexigibilidade,True
07954480000179-1-026284/2025,False,"AQUISIÇÃO DE VOLANESORSENA (SÓDICA), 200 MG/ML - DEMANDA JUDICIAL",9,Inexigibilidade,True
46374500000194-1-002569/2026,False,AQUISIÇÃO DE MEDICAMENTO PARA ATENDER AÇÕES JUDICIAIS,9,Inexigibilidade,True
46374500000194-1-002570/2026,False,AQUISIÇÃO DE MEDICAMENTO PARA ATENDER AÇÕES JUDICIAIS,9,Inexigibilidade,True
46444063000138-1-000050/2026,True,"Registro de preços para eventual Aquisição de Fraldas e Medicamentos específicos destinados ao cumprimento das decisões judiciais em trâmite no Foro da Comarca de Socorro/SP, conforme condições, quantidades e exigências estabelecidas no Anexo I – Termo de Referência do Edital.",6,Pregão - Eletrônico,True
09072430000193-1-000018/2026,False,"[Portal de Compras Públicas] - Contratação de Empresa para atender as demandas judiciais de medicamentos e materiais médicos aos usuários, determinadas pela Justiça, para o cumprimento pela Secretaria Municipal de Saúde de Itabaiana PB",6,Pregão - Eletrônico,True
18557561000151-1-000053/2026,True,"Registro de preços para futura e eventual aquisição de medicamentos destinados à Farmácia Hospitalar, à Farmácia Ozar Nestor de Carvalho - Unidade Farmácia de Minas, e ao atendimento de demandas de ordem judicial.",6,Pregão - Eletrônico,True
