marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
TENOLON,TENOLON,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
TENOXIL,TENOXIL,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
TENSALIV,TENSALIV,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,4,nao
TENSIOVAL,TENSIOVAL,Similar,HIPOLABOR FARMACEUTICA LTDA,8,nao
TENSURIL,TENSURIL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
TEOLONG,TEOLONG,Novo,ABBOTT LABORATORIOS DO BRASIL LTDA,2,nao
TEORO,TEORO,Similar,LIBBS FARMACÊUTICA LTDA,1,nao
TEPEMEN,TEPEMEN,Fitoterápico,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,1,nao
TEPEV,TEPEV,Similar,EMS S/A,6,nao
TEPEV  FF,TEPEV FF,Novo,EMS S/A,2,nao
TEPEZZA,TEPEZZA,Biológico,AMGEN BIOTECNOLOGIA DO BRASIL LTDA. | HORIZON THERAPEUTICS BRASIL LTDA.,2,nao
TEPMETKO,TEPMETKO,Novo,MERCK S/A,1,nao
TEQUEL,TEQUEL,Similar,TEVA FARMACÊUTICA LTDA.,2,nao
TERBUTIL,TERBUTIL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
TERCEN,TERCEN,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
TERGLY,TERGLY,Similar,VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACÊUTICOS LTDA,1,nao
TERICIN AT,TERICIN AT,Similar,ARESE PHARMA LTDA,3,nao
TERMOPRIN,TERMOPRIN,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
TEROCOXI,TEROCOXI,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,5,nao
TEROLAC,TEROLAC,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
TEROQUATRO,TEROQUATRO,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
TERROSA,TERROSA,Biológico,"GEDEON RICHTER DO BRASIL IMPORTADORA, EXPORTADORA E DISTRIBUIDORA S.A.",3,nao
TERZA,TERZA,Novo,EUROFARMA LABORATORIOS S.A.,2,nao
TESS,TESS,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
TESTE VENCIMENTO,TESTE VENCIMENTO,Similar,EMPRESA DE TESTE LTDA. (VS01),1,nao
TESTOCYP,TESTOCYP,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
TESTOGEL,TESTOGEL,Similar,BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS LTDA,2,nao
TETANOGAMMA,TETANOGAMMA,Biológico,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,3,nao
TETRALYSAL,TETRALYSAL,Novo,GALDERMA BRASIL LTDA,3,nao
TETRAMED,TETRAMED,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
TEUCEF,TEUCEF,Similar,LABORATORIO TEUTO BRASILEIRO S/A,3,nao
TEUPANTOL,TEUPANTOL,Específico,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
TEUSIL,TEUSIL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
TEUTOVIT E,TEUTOVIT E,Específico,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
TEUTOZOL,TEUTOZOL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
TEVACARBO,TEVACARBO,Similar,TEVA FARMACÊUTICA LTDA.,2,nao
TEVAGRASTIM,TEVAGRASTIM,Biológico,TEVA FARMACÊUTICA LTDA.,1,nao
TEVAOXALI,TEVAOXALI,Similar,TEVA FARMACÊUTICA LTDA.,3,nao
TEVIMBRA,TEVIMBRA,Biológico,BEONE MEDICINES BRASIL LTDA,1,nao
TEZDRO,TEZDRO,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
TEZSPIRE,TEZSPIRE,Biológico,ASTRAZENECA DO BRASIL LTDA,2,nao
THERAPSOR,THERAPSOR,Similar,THERASKIN FARMACEUTICA LTDA.,1,nao
THIOCTACID,THIOCTACID,Novo,VIATRIS FARMACEUTICA DO BRASIL LTDA,5,nao
THIOPENTAX,THIOPENTAX,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
THYMOGLOBULINE,THYMOGLOBULINE,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
THYROGEN,THYROGEN,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
TIADOL,TIADOL,Similar,CELLERA FARMACEUTICA S.A.,2,nao
TIAG,TIAG,Similar,TORRENT DO BRASIL LTDA,2,nao
TIAPLEX,TIAPLEX,Similar,CELLERA FARMACEUTICA S.A.,1,nao
TIBIAL,TIBIAL,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
TIBOCLIN,TIBOCLIN,Similar,EMS S/A,1,nao
TIBSOVO,TIBSOVO,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,1,nao
TILATIL,TILATIL,Novo,VIATRIS FARMACEUTICA DO BRASIL LTDA,1,nao
TILESTAL,TILESTAL,Similar,MYRALIS INDUSTRIA FARMACEUTICA LTDA,3,nao
TILONAX,TILONAX,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
TILUGEN,TILUGEN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
TIMB,TIMB,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
TIMOPTOL,TIMOPTOL,Novo,MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA,2,nao
TIMOSAN,TIMOSAN,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
TININ,TININ,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
TINODIN,TINODIN,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
TINTURA DE ESPINHEIRA DIVINA COMPOSTA,TINTURA DE ESPINHEIRA DIVINA COMPOSTA,Fitoterápico,VIDORA FARMACEUTICA LTDA,1,nao
TIONAZEN,TIONAZEN,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,2,nao
TIORFAN,TIORFAN,Novo,LABORATÓRIOS BAGÓ DO BRASIL S/A,3,nao
TIOTRAX,TIOTRAX,Similar,EMS S/A,1,nao
TIOXIN,TIOXIN,Similar,FRESENIUS KABI BRASIL LTDA,1,nao
TIPICI,TIPICI,Específico,LABORATORIO TEUTO BRASILEIRO S/A,3,nao
TISSEEL,TISSEEL,Biológico,BAXTER HOSPITALAR LTDA,6,nao
TITENIL,TITENIL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
TIVECOM,TIVECOM,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
TIVICAY,TIVICAY,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
TIVICAY PD,TIVICAY PD,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
TOARIP,TOARIP,Similar,TORRENT DO BRASIL LTDA,5,nao
TOBRACIN,TOBRACIN,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
TOBRACORT,TOBRACORT,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
TOBRACULAR,TOBRACULAR,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
TOBRADEX,TOBRADEX,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
TOBRAMINA,TOBRAMINA,Novo,ANTIBIÓTICOS DO BRASIL LTDA,1,nao
TOBRAZOL,TOBRAZOL,Similar,TEVA FARMACÊUTICA LTDA.,1,nao
TOBREX,TOBREX,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
TODOC,TODOC,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
TODUZE,TODUZE,Novo,EMS S/A,1,nao
TOLREST,TOLREST,Novo | Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,15,nao
TOLZA IV,TOLZA IV,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
TOPAMAX,TOPAMAX,Novo,JANSSEN-CILAG FARMACEUTICA LTDA,3,nao
TOPCOID,TOPCOID,Biológico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
