marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
CANEPHRON,CANEPHRON,Fitoterápico,BIONORICA DO BRASIL DISTRIBUICAO E IMPORTACAO LTDA,1,nao
CANESTEN,CANESTEN,Novo,BAYER S.A.,6,nao
CAPEDUC,CAPEDUC,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
CAPILAREMA,CAPILAREMA,Novo,LABORATÓRIOS BALDACCI LTDA,2,nao
CAPITRAT MEN,CAPITRAT MEN,Similar,KLEY HERTZ FARMACEUTICA S.A,3,nao
CAPOX,CAPOX,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,3,nao
CAPRELSA,CAPRELSA,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
CAPSFEN,CAPSFEN,Novo,CATALENT BRASIL LTDA.,1,nao
CAPTOCORD,CAPTOCORD,Similar,LABORATORIO GLOBO SA,3,nao
CAPTOLAB,CAPTOLAB,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,13,nao
CAPTOMIDO,CAPTOMIDO,Similar,BELFAR LTDA,1,nao
CAPTOSEN,CAPTOSEN,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,2,nao
CAPY,CAPY,Similar,GERMED FARMACEUTICA LTDA,4,nao
CAPZAT,CAPZAT,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
CARBAGLU,CARBAGLU,Novo,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,2,nao
CARBIDOL,CARBIDOL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
CARBITAL,CARBITAL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
CARBOLITIUM,CARBOLITIUM,Novo,EUROFARMA LABORATORIOS S.A.,10,nao
CARDBET,CARDBET,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,4,nao
CARDILOL,CARDILOL,Similar,LIBBS FARMACÊUTICA LTDA,7,nao
CARDIOXANE,CARDIOXANE,Novo,ADIUM S.A.,1,nao
CARDIZEM,CARDIZEM,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,4,nao
CARDURAN,CARDURAN,Novo,LABORATORIOS PFIZER LTDA | UPJOHN BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA.,2,nao
CARELI,CARELI,Similar,EMS S/A,3,nao
CARLIT,CARLIT,Similar,SUPERA FARMA LABORATÓRIOS S.A,5,nao
CARVEDILAT,CARVEDILAT,Similar,EMS SIGMA PHARMA LTDA,4,nao
CARVEGRAN,CARVEGRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,6,nao
CARVEROL,CARVEROL,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CARVYKTI®,CARVYKTI,Produto de Terapia Avançada,JANSSEN-CILAG FARMACEUTICA LTDA,1,nao
CÁSCARA SAGRADA BIONATUS,CASCARA SAGRADA BIONATUS,Fitoterápico,BIONATUS LABORATÓRIO BOTÂNICO LTDA,2,nao
CÁSCARA SAGRADA HERBARIUM,CASCARA SAGRADA HERBARIUM,Fitoterápico,HERBARIUM LABORATORIO BOTANICO LTDA,1,nao
CASODEX,CASODEX,Novo,ASTRAZENECA DO BRASIL LTDA,1,nao
CASPACIL,CASPACIL,Específico,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
CASTANHA DA ÍNDIA,CASTANHA DA INDIA,Fitoterápico,BELFAR LTDA,2,nao
CASTANHA DA ÍNDIA ATALAIA,CASTANHA DA INDIA ATALAIA,Fitoterápico,FARMABRAZ BETA ATALAIA FARMACEUTICA LTDA,1,nao
CASTANHA DA ÍNDIA EC,CASTANHA DA INDIA EC,Fitoterápico,AS ERVAS CURAM INDUSTRIA FARMACEUTICA LTDA,1,nao
CASTANHA DA INDIA GLOBO,CASTANHA DA INDIA GLOBO,Fitoterápico,LABORATORIO GLOBO SA,1,nao
CASTANHA DA ÍNDIA HERBARIUM,CASTANHA DA INDIA HERBARIUM,Fitoterápico,HERBARIUM LABORATORIO BOTANICO LTDA,1,nao
CASTANHA DA ÍNDIA LABORATÓRIOS OSÓRIO DE MORAES,CASTANHA DA INDIA LABORATORIOS OSORIO DE MORAES,Fitoterápico,LABORATÓRIOS OSÓRIO DE MORAES LTDA,1,nao
CATAFLAM,CATAFLAM,Novo,NOVARTIS BIOCIENCIAS S.A,3,nao
CATAFLAMPRO,CATAFLAMPRO,Novo,PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,6,nao
CATAFLEXYM,CATAFLEXYM,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
CATARSE ODT,CATARSE ODT,Similar,FARMOQUÍMICA S/A,4,nao
CAVERJECT,CAVERJECT,Novo,PFIZER BRASIL LTDA,2,nao
CAZIDERM,CAZIDERM,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,3,nao
CAZIGERAN,CAZIGERAN,Específico,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
CBEQUIM,CBEQUIM,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,2,nao
CEBETYM,CEBETYM,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
CEBION,CEBION,Específico,PROCTER & GAMBLE DO BRASIL LTDA,5,nao
CEBRALAT,CEBRALAT,Novo,LIBBS FARMACÊUTICA LTDA,4,nao
CEBRILIN,CEBRILIN,Novo | Similar,LIBBS FARMACÊUTICA LTDA,3,nao
CECI,CECI,Similar,LIBBS FARMACÊUTICA LTDA,2,nao
CECLOR,CECLOR,Similar,EMS SIGMA PHARMA LTDA,4,nao
CEDROXIL,CEDROXIL,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
CEDUR,CEDUR,Novo,TEVA FARMACÊUTICA LTDA.,1,nao
CEF,CEF,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CEFAGEL,CEFAGEL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
CEFALIUM ONE,CEFALIUM ONE,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
CEFALIV,CEFALIV,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
CEFARISTON,CEFARISTON,Similar,BLAU FARMACEUTICA S.A.,5,nao
CEFAZIMA,CEFAZIMA,Similar,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,1,nao
CEFTAFOR,CEFTAFOR,Similar,FRESENIUS KABI BRASIL LTDA,1,nao
CEFTAZIDON,CEFTAZIDON,Similar,BLAU FARMACEUTICA S.A.,2,nao
CEFTFENPRO LP,CEFTFENPRO LP,Similar,GERMED FARMACEUTICA LTDA,5,nao
CEFTON,CEFTON,Similar,BLAU FARMACEUTICA S.A.,6,nao
CEFTRIONA,CEFTRIONA,Similar,FRESENIUS KABI BRASIL LTDA,2,nao
CELEBRA,CELEBRA,Novo,LABORATORIOS PFIZER LTDA | VIATRIS FARMACEUTICA DO BRASIL LTDA,10,nao
CELERG,CELERG,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
CELERGIN,CELERGIN,Similar,EMS S/A,3,nao
CELESTAMINE,CELESTAMINE,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,4,nao
CELESTONE,CELESTONE,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,4,nao
CELESTONE SOLUSPAN,CELESTONE SOLUSPAN,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
CELESTRAT,CELESTRAT,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
CELETIL,CELETIL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
CELLCEPT,CELLCEPT,Novo,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,1,nao
CELSENTRI,CELSENTRI,Novo,GLAXOSMITHKLINE BRASIL LTDA,3,nao
CERAZETTE,CERAZETTE,Novo,MERCK SHARP & DOHME FARMACEUTICA LTDA. | ORGANON FARMACEUTICA LTDA.,3,nao
CEREZYME,CEREZYME,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
CERMAZ,CERMAZ,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
CERNE-12,CERNE 12,Específico,BAXTER HOSPITALAR LTDA,1,nao
CERTICAN,CERTICAN,Novo,NOVARTIS BIOCIENCIAS S.A,3,nao
CERUMIN,CERUMIN,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
CETADEX,CETADEX,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
CETAZIMA,CETAZIMA,Similar,FRESENIUS KABI BRASIL LTDA,2,nao
CETOBETA,CETOBETA,Similar,CELLERA FARMACEUTICA S.A.,2,nao
CETOCORT,CETOCORT,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
CETOCORT-N,CETOCORT N,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
CETOFENID,CETOFENID,Similar,LABORATORIO TEUTO BRASILEIRO S/A,3,nao
CETOMICOSS,CETOMICOSS,Similar,LABORATORIO GLOBO SA,3,nao
CETONAT,CETONAT,Similar,NATIVITA IND. COM. LTDA.,1,nao
CETOP,CETOP,Similar,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,1,nao
CETROLAC,CETROLAC,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,4,nao
CETROLAC SL,CETROLAC SL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
CETROTIDE,CETROTIDE,Novo,MERCK S/A,1,nao
CEWIN,CEWIN,Específico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
CEZOLIN,CEZOLIN,Similar,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,1,nao
CHAMPIX,CHAMPIX,Novo,PFIZER BRASIL LTDA,4,nao
CHERRY,CHERRY,Similar,FARMOQUÍMICA S/A,2,nao
CHORIOMON-M,CHORIOMON M,Biológico,BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS LTDA | UCB BIOPHARMA LTDA.,6,nao
CHRON-ASA 5,CHRON ASA 5,Similar,EMS SIGMA PHARMA LTDA,6,nao
CIALIS,CIALIS,Novo,ELI LILLY DO BRASIL LTDA,5,nao
CIBEX,CIBEX,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
CIBINQO,CIBINQO,Novo,PFIZER BRASIL LTDA,3,nao
CICATENOL,CICATENOL,Específico,EMS S/A,1,nao
CICLADOL,CICLADOL,Similar,CHIESI FARMACÊUTICA LTDA,2,nao
CICLATRY,CICLATRY,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,4,nao
CICLO 21,CICLO 21,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
CICLOLATO,CICLOLATO,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
CICLOMIDRIN,CICLOMIDRIN,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
CICLOPLÉGICO,CICLOPLEGICO,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,1,nao
CICLOPRIMOGYNA,CICLOPRIMOGYNA,Novo,BAYER S.A.,1,nao
CICLORTEN,CICLORTEN,Similar,EMS S/A,3,nao
CICLOVULAR,CICLOVULAR,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CIFLOGEX,CIFLOGEX,Similar,CIMED INDUSTRIA S.A,7,nao
CIFLOXATIL,CIFLOXATIL,Similar,GALLIA INDUSTRIA FARMACEUTICA LTDA,1,nao
CIFOBAN,CIFOBAN,Específico,FRESENIUS MEDICAL CARE LTDA,2,nao
CILINON,CILINON,Similar,BLAU FARMACEUTICA S.A.,7,nao
CILODEX,CILODEX,Similar,NOVARTIS BIOCIENCIAS S.A,1,nao
CILOXAN,CILOXAN,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
CIMECORT,CIMECORT,Similar,CIMED INDUSTRIA S.A,2,nao
CIMEGRIPE,CIMEGRIPE,Similar,CIMED INDUSTRIA S.A,4,nao
CIMEGRIPE 77C,CIMEGRIPE 77C,Similar,CIMED INDUSTRIA S.A,1,nao
CIMEGRIPE DIA,CIMEGRIPE DIA,Similar,CIMED INDUSTRIA S.A,1,nao
CIMELIDE,CIMELIDE,Similar,CIMED INDUSTRIA S.A,2,nao
CIMZIA,CIMZIA,Biológico,UCB BIOPHARMA LTDA.,1,nao
CINATREX,CINATREX,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
CINCORDIL,CINCORDIL,Similar,EMS SIGMA PHARMA LTDA,1,nao
CINETOL,CINETOL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,6,nao
CINRYZE,CINRYZE,Biológico,TAKEDA PHARMA LTDA.,1,nao
CIPIDE,CIPIDE,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
CIPRAMIL,CIPRAMIL,Novo,LUNDBECK BRASIL LTDA,1,nao
CIPRIX,CIPRIX,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
CIPRIXIN DEXA,CIPRIXIN DEXA,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
CIPRO,CIPRO,Novo,BAYER S.A.,2,nao
CIPROBACTER,CIPROBACTER,Similar,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,2,nao
CIPROBIOT,CIPROBIOT,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
CIPROCILIN,CIPROCILIN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
CIPROFAR,CIPROFAR,Similar,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,3,nao
CIPROFLONAX,CIPROFLONAX,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,2,nao
CIPROFLOXATRIN,CIPROFLOXATRIN,Similar,LABORATORIO GLOBO SA,1,nao
CIREFA,CIREFA,Similar,PRATI DONADUZZI & CIA LTDA,4,nao
CIS,CIS,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
CISAUNI,CISAUNI,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CISTEIL,CISTEIL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,9,nao
CITALOR,CITALOR,Novo,VIATRIS FARMACEUTICA DO BRASIL LTDA,4,nao
CITANEST 3% COM OCTAPRESSIN,CITANEST 3 COM OCTAPRESSIN,Similar,DLA PHARMACEUTICAL LTDA,1,nao
CITARAX,CITARAX,Similar,BLAU FARMACEUTICA S.A.,2,nao
CITOBÊ,CITOBE,Específico,EUROFARMA LABORATORIOS S.A.,3,nao
CITOBÊ-DEXA,CITOBE DEXA,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
CITOCAINA,CITOCAINA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
CITONEURIN,CITONEURIN,Específico,PROCTER & GAMBLE DO BRASIL LTDA,12,nao
CITONEURIN 5000 TABS,CITONEURIN 5000 TABS,Específico,PROCTER & GAMBLE DO BRASIL LTDA,1,nao
CITOPLAX,CITOPLAX,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,1,nao
CITOSTAL,CITOSTAL,Novo,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,2,nao
CITTÀ,CITTA,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
CIXIN,CIXIN,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
CIZAX,CIZAX,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,4,nao
CLABAT,CLABAT,Similar,EMS S/A,8,nao
CLAFORDIL,CLAFORDIL,Similar,BLAU FARMACEUTICA S.A.,2,nao
CLANISTIL,CLANISTIL,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
CLAQUINONA,CLAQUINONA,Similar,GERMED FARMACEUTICA LTDA,2,nao
CLARIL,CLARIL,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
CLARILIB,CLARILIB,Similar,BLAU FARMACEUTICA S.A.,2,nao
CLARISCAN,CLARISCAN,Novo,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,11,nao
CLARITIN,CLARITIN,Novo,BAYER S.A.,2,nao
CLAROFT,CLAROFT,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
CLAVULIN,CLAVULIN,Novo,GLAXOSMITHKLINE BRASIL LTDA,10,nao
CLAXAM,CLAXAM,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,3,nao
CLAZI XR,CLAZI XR,Similar,GERMED FARMACEUTICA LTDA,6,nao
CLEANKINOL,CLEANKINOL,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
CLEARTOP,CLEARTOP,Similar,CIMED INDUSTRIA S.A,1,nao
CLENIL,CLENIL,Similar,CHIESI FARMACÊUTICA LTDA,3,nao
CLENIL COMPOSITUM  A,CLENIL COMPOSITUM A,Similar,CHIESI FARMACÊUTICA LTDA,1,nao
CLENIL COMPOSITUM HFA,CLENIL COMPOSITUM HFA,Novo,CHIESI FARMACÊUTICA LTDA,1,nao
CLENIL HFA,CLENIL HFA,Novo,CHIESI FARMACÊUTICA LTDA,5,nao
CLEXANE,CLEXANE,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,11,nao
CLIC,CLIC,Similar,ARESE PHARMA LTDA,2,nao
CLIFEMIN,CLIFEMIN,Fitoterápico,HERBARIUM LABORATORIO BOTANICO LTDA,2,nao
CLILON,CLILON,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
CLIMATRIX,CLIMATRIX,Fitoterápico,MYRALIS INDUSTRIA FARMACEUTICA LTDA,1,nao
CLIMENE,CLIMENE,Novo,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CLINBACTER,CLINBACTER,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
CLINDAMIN-C,CLINDAMIN C,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
CLINDARIX,CLINDARIX,Similar,BLAU FARMACEUTICA S.A.,3,nao
CLINDELLA,CLINDELLA,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,2,nao
CLINDOXYL,CLINDOXYL,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
CLINFAR,CLINFAR,Similar,MERCK S/A,3,nao
CLIOQDERM,CLIOQDERM,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
CLISTEROL,CLISTEROL,Específico,JP INDUSTRIA FARMACEUTICA S/A,1,nao
CLIZE,CLIZE,Similar,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1,nao
CLO,CLO,Similar,EMS SIGMA PHARMA LTDA,5,nao
CLOB-X,CLOB X,Novo | Similar,GALDERMA BRASIL LTDA,6,nao
CLOCEF,CLOCEF,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
CLOFEN K,CLOFEN K,Similar,1FARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
CLOMAZOL,CLOMAZOL,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
CLOMID,CLOMID,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
CLONIDIN,CLONIDIN,Novo,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
CLOPAM,CLOPAM,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,5,nao
CLOPE,CLOPE,Similar,EMS S/A,1,nao
CLOPIDO-GRAN,CLOPIDO GRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
CLOPIN,CLOPIN,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
CLOPIN DUO,CLOPIN DUO,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
CLOPIPLAX,CLOPIPLAX,Similar,GERMED FARMACEUTICA LTDA,1,nao
CLOPIXOL,CLOPIXOL,Novo,LUNDBECK BRASIL LTDA,4,nao
CLORANA,CLORANA,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
CLORATADD,CLORATADD,Similar,EMS S/A,3,nao
CLORDILON,CLORDILON,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,2,nao
CLORETO DE CÁLCIO 10%,CLORETO DE CALCIO 10,Específico,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,3,nao
CLORETO DE POTÁSSIO,CLORETO DE POTASSIO,Específico,SAMTEC BIOTECNOLOGIA LIMITADA | SANTISA LABORATÓRIO FARMACÊUTICO S/A | VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,12,nao
"CLORETO DE POTÁSSIO 19,1%",CLORETO DE POTASSIO 19 1,Específico,FARMARIN INDUSTRIA E COMERCIO LTDA,1,nao
CLORETO DE SÓDIO,CLORETO DE SODIO,Específico,ANTIBIÓTICOS DO BRASIL LTDA | BEKER PRODUTOS FARMACO HOSPITALARES LTDA | EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA | FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA | FARMARIN INDUSTRIA E COMERCIO LTDA | FRESENIUS KABI BRASIL LTDA | HALEX ISTAR INDUSTRIA FARMACEUTICA SA | SAMTEC BIOTECNOLOGIA LIMITADA | SANTISA LABORATÓRIO FARMACÊUTICO S/A | VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,41,nao
"CLORETO DE SÓDIO 0,9%",CLORETO DE SODIO 0 9,Específico,ANTIBIÓTICOS DO BRASIL LTDA | AURANTIS INDUSTRIA FARMACÊUTICA LTDA | COPERMED COMERCIAL IMPORTADORA LTDA | EUROFARMA LABORATORIOS S.A. | FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA,21,nao
"CLORETO DE SÓDIO 0,9% BASA",CLORETO DE SODIO 0 9 BASA,Específico,BASAL INDUSTRIA FARMACEUTICA LTDA,4,nao
CLORETO DE SÓDIO - BAXTER,CLORETO DE SODIO BAXTER,Específico,BAXTER HOSPITALAR LTDA,5,nao
CLORETO DE SÓDIO BEKER,CLORETO DE SODIO BEKER,Específico,BEKER PRODUTOS FARMACO HOSPITALARES LTDA,9,nao
CLORETO DE SÓDIO + CLORETO DE CÁLCIO + ASSOCIAÇÕES FARMACE,CLORETO DE SODIO CLORETO DE CALCIO ASSOCIACOES FARMACE,Específico,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,1,nao
CLORETO DE SÓDIO JP FISIOLÓGICO,CLORETO DE SODIO JP FISIOLOGICO,Específico,JP INDUSTRIA FARMACEUTICA S/A,4,nao
CLORETO DE SÓDIO SOLUÇÃO FISIOLÓGICA PARA IRRIGAÇÃO - BAXTER,CLORETO DE SODIO SOLUCAO FISIOLOGICA PARA IRRIGACAO BAXTER,Específico,BAXTER HOSPITALAR LTDA,1,nao
CLORIDRATO DE TIAMINA,CLORIDRATO DE TIAMINA,Específico,HIPOLABOR FARMACEUTICA LTDA,1,nao
CLOROQUINA DIFOSFATO,CLOROQUINA DIFOSFATO,Similar,FUNDACAO OSWALDO CRUZ,2,nao
CLORPROMAZ,CLORPROMAZ,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
CLOTRIGEL,CLOTRIGEL,Similar,GLENMARK FARMACÊUTICA LTDA,1,nao
CLOTRIMIX,CLOTRIMIX,Similar,FARMOQUÍMICA S/A,1,nao
COALY,COALY,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
COAMA,COAMA,Similar,EMS S/A,4,nao
COBAPETIT,COBAPETIT,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
COBAVITAL,COBAVITAL,Novo,ABBOTT LABORATORIOS DO BRASIL LTDA,4,nao
COBI-12,COBI 12,Específico,APSEN FARMACEUTICA S/A,8,nao
COCICHIMIL,COCICHIMIL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,2,nao
COD,COD,Similar,SUPERA FARMA LABORATÓRIOS S.A,6,nao
COD PAR,COD PAR,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
CODATEN,CODATEN,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
CODEIN,CODEIN,Novo,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,10,nao
CODEX,CODEX,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
COGIT,COGIT,Similar,BIOLAB SANUS FARMACEUTICA LTDA,5,nao
COGLIVE,COGLIVE,Similar,LIBBS FARMACÊUTICA LTDA,8,nao
COGNITUS,COGNITUS,Fitoterápico,HERBARIUM LABORATORIO BOTANICO LTDA,2,nao
COGNIVA,COGNIVA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
COLCHIS,COLCHIS,Específico,APSEN FARMACEUTICA S/A,3,nao
COLEDUE,COLEDUE,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
COLEDUE R,COLEDUE R,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,6,nao
COLEGÓRICO,COLEGORICO,Fitoterápico,LAPON INDUSTRIA FARMACEUTICA LTDA - EPP,2,nao
COLEMONO,COLEMONO,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,6,nao
COLIAFT,COLIAFT,Similar,EMS S/A,1,nao
COLIPAN,COLIPAN,Similar,GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA,1,nao
COLÍRIO GEOLAB,COLIRIO GEOLAB,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
COLÍRIO LEGRAND,COLIRIO LEGRAND,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
COLÍRIO MOURA BRASIL,COLIRIO MOURA BRASIL,Novo,OPELLA HEALTHCARE BRAZIL LTDA,1,nao
COLÍRIO NEO BRASIL,COLIRIO NEO BRASIL,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
COLÍRIO TEUTO,COLIRIO TEUTO,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
