codigo_br,desc_item,codigo_pdm,desc_pdm,numeroCaracteristica,nomeCaracteristica,nomeValorCaracteristica,siglaUnidadeMedida
630954,"630954 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Isento De Thc",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
630954,"630954 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Isento De Thc",30212,Canabidiol,8,Adicional,Isento De Thc,NA
630953,"630953 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Seringa Preenchida",30212,Canabidiol,5,Concentração,240,MG/ML
630953,"630953 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Seringa Preenchida",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
630953,"630953 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Seringa Preenchida",30212,Canabidiol,8,Adicional,Seringa Preenchida,NA
630952,"630952 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,5,Concentração,240,MG/ML
630952,"630952 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
630649,"630649 - Canabidiol, Concentração:66,66 MG/ML, Forma Farmacêutica:Solução Oral - Gotas, Adicional:Amplo Espectro, Isento De Thc",30212,Canabidiol,5,Concentração,"66,66",MG/ML
630649,"630649 - Canabidiol, Concentração:66,66 MG/ML, Forma Farmacêutica:Solução Oral - Gotas, Adicional:Amplo Espectro, Isento De Thc",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
630649,"630649 - Canabidiol, Concentração:66,66 MG/ML, Forma Farmacêutica:Solução Oral - Gotas, Adicional:Amplo Espectro, Isento De Thc",30212,Canabidiol,8,Adicional,"Amplo Espectro, Isento De Thc",NA
630214,"630214 - Canabidiol, Composição:Associado À Canabidivarina (Cbdv), Outros Componentes:Canabicromeno (Cbc), Ácido Canabidiólico (Cbda), Demais Componentes:Ácido Canabigerólico (Cbga), Canabigerol (Cbg), Concentração:148,7 Mg/Ml + 49,57 Mg/Ml + 12,39 Mg/Ml + 12,39 MG/ML, Concentração 1:12,39 Mg/Ml + 12,39 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,1,Composição,Associado À Canabidivarina (Cbdv),NA
630214,"630214 - Canabidiol, Composição:Associado À Canabidivarina (Cbdv), Outros Componentes:Canabicromeno (Cbc), Ácido Canabidiólico (Cbda), Demais Componentes:Ácido Canabigerólico (Cbga), Canabigerol (Cbg), Concentração:148,7 Mg/Ml + 49,57 Mg/Ml + 12,39 Mg/Ml + 12,39 MG/ML, Concentração 1:12,39 Mg/Ml + 12,39 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,2,Outros Componentes,"Canabicromeno (Cbc), Ácido Canabidiólico (Cbda)",NA
630214,"630214 - Canabidiol, Composição:Associado À Canabidivarina (Cbdv), Outros Componentes:Canabicromeno (Cbc), Ácido Canabidiólico (Cbda), Demais Componentes:Ácido Canabigerólico (Cbga), Canabigerol (Cbg), Concentração:148,7 Mg/Ml + 49,57 Mg/Ml + 12,39 Mg/Ml + 12,39 MG/ML, Concentração 1:12,39 Mg/Ml + 12,39 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,3,Demais Componentes,"Ácido Canabigerólico (Cbga), Canabigerol (Cbg)",NA
630214,"630214 - Canabidiol, Composição:Associado À Canabidivarina (Cbdv), Outros Componentes:Canabicromeno (Cbc), Ácido Canabidiólico (Cbda), Demais Componentes:Ácido Canabigerólico (Cbga), Canabigerol (Cbg), Concentração:148,7 Mg/Ml + 49,57 Mg/Ml + 12,39 Mg/Ml + 12,39 MG/ML, Concentração 1:12,39 Mg/Ml + 12,39 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,5,Concentração,"148,7 Mg/Ml + 49,57 Mg/Ml + 12,39 Mg/Ml + 12,39",MG/ML
630214,"630214 - Canabidiol, Composição:Associado À Canabidivarina (Cbdv), Outros Componentes:Canabicromeno (Cbc), Ácido Canabidiólico (Cbda), Demais Componentes:Ácido Canabigerólico (Cbga), Canabigerol (Cbg), Concentração:148,7 Mg/Ml + 49,57 Mg/Ml + 12,39 Mg/Ml + 12,39 MG/ML, Concentração 1:12,39 Mg/Ml + 12,39 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,6,Concentração 1,"12,39 Mg/Ml + 12,39",MG/ML
