codigo_pdm,codigo_br,nome_item,embedding
9762,267376,"midazolam, dosagem:7,5 mg","[ 0.00376875 -0.03009737  0.0635783  ...  0.01926148 -0.04169486
  0.02486072]"
10094,267378,"nistatina, dosagem:100.000 ui/ml, apresentação:suspensão oral","[-0.01108888  0.01361241  0.0189836  ...  0.0467224   0.0170913
 -0.01166563]"
12704,267393,"tetraciclina, dosagem:500 mg","[-0.01909059 -0.01307994 -0.04276047 ... -0.00734434  0.01270939
 -0.00029218]"
8275,267395,"ibuprofeno, dosagem:400 mg","[-0.01447782  0.01405792  0.04339318 ... -0.00194093 -0.07735465
  0.00342747]"
12638,267415,"teofilina, dosagem:100 mg","[-0.06193239 -0.03586169 -0.02294512 ... -0.01020227 -0.00124383
  0.03051717]"
12638,267416,"teofilina, dosagem:200 mg","[-0.09025236 -0.01778774  0.00337005 ... -0.00690318 -0.00512214
  0.03401819]"
12713,267418,"tiabendazol, dosagem:50 mg/g, indicação:pomada","[-0.0273525   0.0494068   0.02019028 ... -0.0014404   0.02833151
 -0.02842776]"
12713,267419,"tiabendazol, dosagem:50 mg/ml, indicação:suspensão oral","[-0.04218534  0.05717853  0.04855071 ...  0.00484299  0.00252947
  0.00184173]"
13384,267424,"verapamil cloridrato, dosagem:2,5 mg/ml, indicação:solução injetável","[-0.06125209  0.03348047  0.04889631 ...  0.03883469  0.00399339
  0.01672718]"
13384,267425,"verapamil cloridrato, dosagem:80 mg","[-0.04443376 -0.00526192  0.04499459 ...  0.00291701 -0.02430606
  0.04289136]"
13384,267426,"verapamil cloridrato, dosagem:40 mg","[-0.03803804  0.00985245  0.04019462 ...  0.0066018  -0.03130968
  0.03739073]"
10041,267446,"naproxeno, dosagem:25 mg/ml, apresentação:suspensão oral","[-0.00751963 -0.01685561  0.07816811 ...  0.00918764 -0.03053828
  0.00497881]"
353,267501,"ácido acetilsalicílico, dosagem:500 mg","[ 0.00253674 -0.01413423  0.03284222 ...  0.02791846  0.00069547
  0.02286929]"
353,267502,"ácido acetilsalicílico, dosagem:100 mg","[ 0.00548399 -0.04286779  0.02682981 ...  0.02605444  0.00737826
  0.02800596]"
354,267503,"ácido fólico, dosagem:5 mg","[ 0.01790453 -0.02681401  0.02778304 ...  0.00263657  0.00480541
  0.02885135]"
2036,267504,"ácido valpróico, dosagem:250 mg","[ 0.01721752 -0.00882113  0.06067841 ...  0.05469829 -0.00858081
  0.05146926]"
2036,267505,"ácido valpróico, dosagem:500 mg","[ 0.02658026  0.00180522  0.04336603 ...  0.03716052 -0.02251366
  0.0436599 ]"
350,267506,"albendazol, dosagem:400 mg","[-0.06148924  0.04576286  0.03536011 ...  0.01479988 -0.04279248
  0.02733925]"
350,267507,"albendazol, dosagem:40 mg/ml, uso:suspensão oral","[-0.04360108  0.05088562  0.06290146 ...  0.00923582 -0.02181046
  0.0138938 ]"
2360,267508,"alopurinol, dosagem:100 mg","[-3.5431094e-02  2.0296626e-02  4.6677501e-03 ...  1.9347554e-02
 -8.1560007e-05 -1.9112349e-02]"
2360,267509,"alopurinol, dosagem:300 mg","[-0.06629471  0.01917572 -0.0035527  ...  0.04317349  0.01274068
 -0.02255617]"
2420,267510,"amiodarona, dosagem:200 mg","[-0.02688304 -0.01884181  0.02730999 ...  0.02623619 -0.01388766
  0.02315854]"
351,267511,"aminofilina, dosagem:100 mg","[-0.06389926 -0.04492063 -0.004605   ...  0.00928495  0.02018954
  0.00773302]"
5134,267512,"amitriptilina cloridrato, dosagem:25 mg","[-0.02298446 -0.02461261  0.00018207 ...  0.00948287  0.02045377
 -0.00325292]"
349,267515,"ampicilina, dosagem:500 mg","[-0.01850722 -0.03802734  0.03897674 ...  0.02974523 -0.00871168
  0.00753115]"
3106,267516,"atenolol, dosagem:25 mg","[ 0.01206999  0.00941256  0.05694845 ...  0.012843   -0.01498749
  0.01722614]"
3106,267517,"atenolol, dosagem:50 mg","[ 0.01888462  0.02257058  0.05767243 ... -0.00459637 -0.01445119
  0.00215481]"
3106,267518,"atenolol, dosagem:100 mg","[ 0.00655181  0.01487298  0.02550558 ...  0.02149563 -0.02629821
  0.01636188]"
5086,267522,"clomipramina, dosagem:25 mg","[-0.06140742  0.01234006 -0.00269761 ...  0.00500343  0.00061841
  0.00996768]"
5086,267523,"clomipramina, dosagem:10 mg","[-0.05049805 -0.00014706 -0.02697992 ...  0.00038045 -0.00583763
  0.01991132]"
5281,267526,"cloxazolam, dosagem:1 mg","[-0.01592575 -0.01798097  0.01112194 ...  0.00945255 -0.02019576
  0.01930095]"
5281,267527,"cloxazolam, dosagem:2 mg","[-0.03476617 -0.0280494   0.02129505 ...  0.01794132 -0.01845407
  0.02385827]"
8334,267531,"indapamida, dosagem:2,5 mg","[-0.01194206 -0.01643253  0.07013955 ...  0.02639514  0.00289569
  0.00538384]"
8007,267540,"glicose, concentração:25%, indicação:solução injetável","[-0.04445218  0.02849329  0.05124578 ...  0.02233578  0.02903707
 -0.00444852]"
8007,267541,"glicose, concentração:50%, indicação:solução injetável","[-0.03712902  0.03558284  0.05215481 ...  0.00888316  0.04278942
 -0.01187026]"
8007,267544,"glicose, concentração:10%, indicação:solução injetável, características adicionais:sistema fechado","[-0.02787674  0.01000255  0.02763968 ...  0.0171156   0.01528247
  0.01297704]"
4677,267564,"carvedilol, dosagem:12,5 mg","[-0.01601468 -0.03452514  0.04966878 ...  0.00260528  0.02299682
  0.03219375]"
4677,267565,"carvedilol, dosagem:6,25 mg","[-0.00197092 -0.02011748  0.04958121 ... -0.00304056  0.0240199
  0.03210995]"
4677,267566,"carvedilol, dosagem:3,125 mg","[-0.02419428 -0.01888767  0.04314289 ...  0.01739141  0.02342219
  0.04034965]"
4677,267567,"carvedilol, dosagem:25 mg","[-0.00709552 -0.02628573  0.04443298 ... -0.00349343  0.03255166
  0.03909328]"
5164,267568,"diltiazem cloridrato, dosagem:60 mg","[-0.0299596   0.01218424  0.01038395 ...  0.01531134 -0.03120389
  0.01295681]"
5164,267569,"diltiazem cloridrato, dosagem:30 mg","[-0.03305382  0.01767115 -0.00365584 ...  0.03811301 -0.02426123
  0.02676276]"
