numero_controle_pncp,numero_item,tipoBeneficioNome,aplicabilidadeMargemPreferenciaNormal,percentualMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaAdicional,tipoMargemPreferencia.codigo,criterioJulgamentoNome,tipoMargemPreferencia.nome,tipoMargemPreferencia,exigenciaConteudoNacional,_merge,srp,_merge_srp
00394544000185-1-001875/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001875/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001875/2025,6,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001875/2025,7,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001875/2025,8,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46374500000194-1-006862/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
20920567000193-1-000196/2025,2,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
20920567000193-1-000196/2025,3,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
20920567000193-1-000196/2025,4,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
12998458000160-1-000851/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
18243287000146-1-000143/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
12998458000160-1-000853/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
18584961000156-1-000068/2025,6193787,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46068425000133-1-001944/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001948/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001948/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
02307876000100-1-000109/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
41090291000133-1-000195/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
57252971000146-1-000003/2025,28236,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
15126437000305-1-002129/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
81648859000103-1-002046/2025,4,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
81648859000103-1-002054/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
08778268000160-1-000515/2025,2,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
10711980000194-1-000055/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
10711980000194-1-000055/2025,4,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
08778268000160-1-000519/2025,1,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
08778268000160-1-000519/2025,2,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
08778268000160-1-000519/2025,5,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
08778268000160-1-000519/2025,7,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
21744847000150-1-001824/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
78640489000153-1-000572/2025,2,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
03517102000177-1-000207/2025,10370,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
18114264000131-1-000290/2025,6309743,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
12998458000160-1-000856/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
45132495000140-1-000343/2025,1,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
33781055000135-1-001320/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,1,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,2,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,3,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,4,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,5,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,6,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,7,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,8,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
03979390000181-1-000027/2025,9,Sem benefício,False,,False,,,Não se aplica,,,False,both,False,both
04058766000188-1-000011/2025,2,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
04058766000188-1-000011/2025,3,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
78640489000153-1-000605/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
78640489000153-1-000604/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
46068425000133-1-001953/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001953/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001953/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001953/2025,4,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001953/2025,5,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
