codigo_item,caracteristicas_ocds
267510,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Amiodarona""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
267511,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aminofilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
267512,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Amitriptilina Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""25 MG""}]"
267515,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
267516,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atenolol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""25 MG""}]"
267517,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atenolol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG""}]"
267518,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atenolol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
267522,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Clomipramina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""25 MG""}]"
267523,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Clomipramina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG""}]"
267526,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloxazolam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1 MG""}]"
267527,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloxazolam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""2 MG""}]"
267531,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Indapamida""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""2.5 MG""}]"
267540,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Glicose""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.25""}]"
267541,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Glicose""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.5""}]"
267544,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""sistema fechado""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Glicose""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.1""}]"
267564,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Carvedilol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""12.5 MG""}]"
267565,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Carvedilol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""6.25 MG""}]"
267566,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Carvedilol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""3.125 MG""}]"
267567,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Carvedilol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""25 MG""}]"
267568,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diltiazem Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""60 MG""}]"
267569,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diltiazem Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""30 MG""}]"
267570,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Ação Prolongada""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diltiazem Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""180 MG""}]"
267571,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Ação Prolongada""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diltiazem Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""90 MG""}]"
267572,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Ação Prolongada""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diltiazem Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""120 MG""}]"
267573,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Ação Prolongada""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Verapamil Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""120 MG""}]"
267574,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloreto De Sódio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.2""}]"
267581,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Spray Oral""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco dosificador""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Beclometasona Dipropionato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""250 MCG""}]"
