numero_controle_pncp,numero_item,aplicacao_beneficio_me_epp,incentivo_produtivo_basico,exigencia_conteudo_nacional,aplicabilidade_margem_preferencia_normal,aplicabilidade_margem_preferencia_adicional,tipo_margem_preferencia_codigo,tipo_margem_preferencia_nome,percentual_margem_preferencia_normal,percentual_margem_preferencia_adicional,aplicacao_margem_preferencia,amparo_legal_margem_preferencia_id,amparo_legal_margem_preferencia_nome,amparo_legal_margem_preferencia_descricao,aplicacao_criterio_desempate,amparo_legal_criterio_desempate_id,amparo_legal_criterio_desempate_nome,amparo_legal_criterio_desempate_descricao,percentual_desconto
11279054000154-1-000003/2024,3891450,,,,,,,,,,,,,,,,,,
00733062000102-1-000160/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
63787204000134-1-000003/2024,4332032,,,,,,,,,,,,,,,,,,
11231139000162-1-000002/2024,4384423,,,,,,,,,,,,,,,,,,
12278609000106-1-000001/2024,3954672,,,,,,,,,,,,,,,,,,
01224716000135-1-000003/2024,3896396,,,,,,,,,,,,,,,,,,
87252045000131-1-000009/2024,3,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
87252045000131-1-000009/2024,9,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
26981455000129-1-000039/2024,10,,,,,,,,,,,,,,,,,,
07424905000138-1-000057/2024,7,,,,,,,,,,,,,,,,,,
07424905000138-1-000044/2024,6,,,,,,,,,,,,,,,,,,
07424905000138-1-000034/2024,10,,,,,,,,,,,,,,,,,,
00394544000185-1-001135/2024,4,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
03930106000182-1-000117/2024,5,,,,,,,,,,,,,,,,,,
15126437000143-1-001729/2024,10,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
15126437000143-1-001683/2024,2,,,,,,,,,,,,,,,,,,
27080530000143-1-001551/2024,6,,,,,,,,,,,,,,,,,,
27080530000143-1-001530/2024,2,,,,,,,,,,,,,,,,,,
27080530000143-1-001435/2024,1,,,,,,,,,,,,,,,,,,
27080530000143-1-001168/2024,3,,,,,,,,,,,,,,,,,,
02471378000107-1-000024/2025,10,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
03156999000150-1-000006/2024,2,,,,,,,,,,,,,,,,,,
05054929000117-1-000114/2024,2,,,,,,,,,,,,,,,,,,
83268011000184-1-000040/2024,2,,,,,,,,,,,,,,,,,,
08109444000171-1-000059/2024,10,,,,,,,,,,,,,,,,,,
08109444000171-1-000054/2024,4,,,,,,,,,,,,,,,,,,
08109444000171-1-000054/2024,5,,,,,,,,,,,,,,,,,,
08109444000171-1-000054/2024,7,,,,,,,,,,,,,,,,,,
08109444000171-1-000006/2023,5,,,,,,,,,,,,,,,,,,
05193073000160-1-000007/2024,9,,,,,,,,,,,,,,,,,,
08109444000171-1-000035/2024,1,,,,,,,,,,,,,,,,,,
08109444000171-1-000018/2024,1,,,,,,,,,,,,,,,,,,
08778268000160-1-000408/2024,4,,,,,,,,,,,,,,,,,,
13844779000173-1-000020/2024,5,,,,,,,,,,,,,,,,,,
08767154000115-1-000049/2024,8,,,,,,,,,,,,,,,,,,
11464118000197-1-000007/2024,7,,,,,,,,,,,,,,,,,,
01618704000195-1-000110/2024,1,,,,,,,,,,,,,,,,,,
01618704000195-1-000110/2024,10,,,,,,,,,,,,,,,,,,
15126437000143-1-001802/2024,4,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
11156248000162-1-000004/2024,3,,,,,,,,,,,,,,,,,,
11097243000106-1-000071/2024,1,,,,,,,,,,,,,,,,,,
15126437000143-1-002043/2024,5,,,,,,,,,,,,,,,,,,
08241747000496-1-000010/2024,1,,,,,,,,,,,,,,,,,,
24365710000183-1-000142/2023,6,,,,,,,,,,,,,,,,,,
08357618000115-1-000043/2024,6,,,,,,,,,,,,,,,,,,
08241747000496-1-000002/2024,3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46374500000194-1-001772/2025,4,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
63762025000142-1-000096/2024,4481077,,,,,,,,,,,,,,,,,,
04696490000163-1-000037/2024,2,,,,,,,,,,,,,,,,,,
63787071000104-1-000012/2024,4075620,,,,,,,,,,,,,,,,,,
00394429000100-1-000514/2024,4,,,,,,,,,,,,,,,,,,
25053133000157-1-000109/2024,5,,,,,,,,,,,,,,,,,,
12250916000189-1-000056/2024,4,,,,,,,,,,,,,,,,,,
26981455000129-1-000055/2024,3,,,,,,,,,,,,,,,,,,
07954480000179-1-005572/2024,4,,,,,,,,,,,,,,,,,,
07954480000179-1-011138/2024,9,,,,,,,,,,,,,,,,,,
15126437000143-1-002227/2024,5,,,,,,,,,,,,,,,,,,
82951351000142-1-000273/2024,10,,,,,,,,,,,,,,,,,,
88084942000146-1-000077/2025,7,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
19843929000100-1-000625/2024,3,,,,,,,,,,,,,,,,,,
82951351000142-1-000253/2024,2,,,,,,,,,,,,,,,,,,
27080605000196-1-000158/2025,3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
03238912000194-1-000012/2024,4,,,,,,,,,,,,,,,,,,
16692121000181-1-000061/2025,4,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
33781055000135-1-002914/2024,8,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
06554208000139-1-000028/2024,4,,,,,,,,,,,,,,,,,,
11286235000108-1-000002/2025,5313631,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,9.26
76208495000100-1-000070/2024,4,,,,,,,,,,,,,,,,,,
12474705000120-1-000070/2025,1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
12474705000120-1-000070/2025,3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
00394452000103-1-014183/2024,5,,,,,,,,,,,,,,,,,,
39563911000162-1-000102/2024,9,,,,,,,,,,,,,,,,,,
08241739000105-1-000663/2024,3,,,,,,,,,,,,,,,,,,
04092672000125-1-000081/2024,4,,,,,,,,,,,,,,,,,,
87958625000149-1-000329/2024,5,,,,,,,,,,,,,,,,,,
92871466000180-1-000585/2024,4,,,,,,,,,,,,,,,,,,
87958625000149-1-000315/2024,3,,,,,,,,,,,,,,,,,,
