"endpoint","numeroItem","codigo_pdm","descricao","unidadeMedida"
"https://pncp.gov.br/api/pncp/v1/orgaos/18017384000110/compras/2024/218/itens",3,"2436","AMOXICILINA TRIHIDRATADA 15 G SUSPENSAO INJETAVEL IM PARA CAES","frasco-ampola"
"https://pncp.gov.br/api/pncp/v1/orgaos/25269069000146/compras/2024/25/itens",7,"5118","MANTEIGA
DE PRIMEIRA QUALIDADE COM SAL, EM POTES DE 500                                                                                                                                                                                                                  GRAMAS                                                                                                                                                                                                                                                          (INGREDIENTES: CREME DE LEITE PASTEURIZADO,                                                                                                                                                                                                                     CLORETO DE SODIO E FERMENTO LATICO).","POTE (PE)"
"https://pncp.gov.br/api/pncp/v1/orgaos/27165703000126/compras/2021/4/itens",7,"4505","CAPTOPRIL 25 MG COMPRIMIDO* - DISPOSTO NO CONVÊNIO ICMS (CONVÊNIO Nº 087/2002 E SUAS ALTERAÇÕES).","COMP"
"https://pncp.gov.br/api/pncp/v1/orgaos/13097050000180/compras/2024/133/itens",9,"1249","FERMENTO QUÍMICO EM PÓ PRODUTO FORMADO DE SUBSTÂNCIAS QUÍMICAS QUE POR INFLUÊNCIA DO CALOR E/OU UMIDADE PRODUZ DESPRENDIMENTO GASOSO CAPAZ DE EXPANDIR MASSAS ELABORADAS COM FARINHAS, AMIDOS OU FÉCULAS, AUMENTANDO-LHES O VOLUME E A POROSIDADE. CONTENDO NO INGREDIENTE BICARBONATO DE SÓDIO, CARBONATO DE CÁLCIO E FOSFATO MONOCÁLCICO – EMBALAGEM LATA DE 100 G.","UND"
"https://pncp.gov.br/api/pncp/v1/orgaos/44880060000111/compras/2023/101/itens",4,"2259","ALCOOL ETILICO HIDRATADO EM GEL 70% - GALAO COM 5 LITROS","GL"
"https://pncp.gov.br/api/pncp/v1/orgaos/18428854000139/compras/2024/11/itens",3881199,"14586","FÓRMULA INFANTIL DE PARTIDA PARA LACTENTES DE 0 A 6 MESES DE IDADE, CONCENTRADODE SEROPROTEÍNAS HIDROLISADAS (DO LEITE), MALTODEXTRINA, ÓLEOS VEGETAIS, GALACTO-OLIGOSSACÁRIDOS (DO LEITE), EMULSIONANTE: ESTERES DE MONO E DIGLICERÍDIOS DO ÁCIDO CÍTRICO, FRUCTO-OLIGOSSACÁRIDOS, TRIFOSFATO DE CÁLCIO, CLORETO DE POTÁSSIO,ÓLEO DE PEIXE, CLORETO DE MAGNÉSIO, TRICITRATO DE SÓDIO, CARBONATO DE CÁLCIO, CLORIDRATO DE COLINA, ÁCIDO L-ASCÓRBICO, TAURINA, L-ASCORBATO DE SÓDIO, SULFATO FERROSO, INOSITOL, SULFATO DE ZINCO, URIDINA-5'-MONOFOSFATO DE SÓDIO, ÁCIDO CITIDINA-5'-MONOFOSFÓRICO, ACETATO DE DL-?-TOCOFEROL, ADENOSINA-5'-MONOFOSFATO, INOSINA-5'-MONOFOSFATO DE SÓDIO, L-CARNITINA, NICOTINAMIDA, D-PANTOTENATO DE CÁLCIO, GUANOSINA 5'-MONOFOSFATO DE SÓDIO, D-BIOTINA, SULFATO CÚPRICO, ÁCIDO PTEROILMONOGLUTÂMICO, PALMITATO DE RETINILO, DL-?-TOCOFEROL, CIANOCOBALAMINA, CLORIDRATO DETIAMINA, RIBOFLAVINA, COLECALCIFEROL, CLORIDRATO DE PIRIDOXINA, SULFATO DE MANGANÊS, IODETO DE POTÁSSIO, FITOMENADIONA, SELENITO DE SÓDIO.CONTÉM: LEITE E ÓLEO DE PEIXE; ACONDICIONADO EM LATA DE 800 GRAMAS. VALIDADE MÍNIMA DE 10 MESES CONTADOS A PARTIR DO RECEBIMENTO DO PRODUTO; DEMAIS CONDIÇÕES DE ACORDO COM AS NORMASDE SAÚDE/SANITÁRIAS.","LA"
"https://pncp.gov.br/api/pncp/v1/orgaos/15309267000132/compras/2024/16/itens",28856,"4104","30MG DE CAFEÍNA + 125MG DE CARISOPRODOL + 50MG DE DICLOFENACO SÓDICO + 300MG DE PARACETAMOL ( TANDRILAX) COMP/ CÁPSULA","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/01068014000100/compras/2024/227/itens",2,"15458","CONTROLADOR DIGITAL CONSERVADORA VACINA.","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/76950039000131/compras/2024/35/itens",6,"5130","0271660 - AMBROXOL, SAL CLORIDRATO, 3 MG/ML, XAROPE INFANTIL - FRASCO 120ML","FRAS"
"https://pncp.gov.br/api/pncp/v1/orgaos/46634044000174/compras/2024/109/itens",5,"8275","IBUPROFENO 50 MG/ML - INDICACAO: febres e dores leves a moderadas.- FORMA FARMACEUTICA: suspensao oral (gotas).- APRESENTACAO: frasco com 30 ml.- N. R.M.S. / lote.- Data de fabricacao / validade.- REFERENCIA: Mantecorp (Alivium), generico ou similar.","FRC"
"https://pncp.gov.br/api/pncp/v1/orgaos/13698758000197/compras/2023/6/itens",3218837,"3567","BIPERIDENO CLORIDRATO 2MG COMPRIMIDO","COMPRIMIDO"
"https://pncp.gov.br/api/pncp/v1/orgaos/95422911000113/compras/2022/2/itens",2,"1824","ACETILCISTEÍNA, CONCENTRAÇAO:40 MG/ML, FORMA FARMACEUTICA:XAROPE, FRASCO 120 ML. Cód. BR. BR0355786","FR"
"https://pncp.gov.br/api/pncp/v1/orgaos/45780103000150/compras/2024/44/itens",8,"363","Cota Reservada - ACICLOVIR  50 MG/G, CREME, TUBO 10 G","TUBO"
"https://pncp.gov.br/api/pncp/v1/orgaos/83074294000123/compras/2024/9/itens",2,"17910","AÇÚCAR REFINADO, DE ORIGEM VEGETAL, CONSTITUÍDO FUNDAMENTALMENTE POR SACAROSE DE CANA-DE-AÇÚCAR. COMPOSIÇÃO BÁSICA CENTESIMAL: CONCENTRAÇÃO DE SACAROSE MÍNIMA DE 99,5 %; CONCENTRAÇÃO DE GLUCOSE E FRUTOSE MÁXIMA DE 0,4 %; CONCENTRAÇÃO DE SAIS MINERAIS MÁXIMA DE 0,2 %; UMIDADE MÁXIMA DE 0,3 %. VALIDADE MÍNIMA DE 06 MESES NA DATA DA ENTREGA. EMBALAGEM DE 5 KG.","Unidade (UND)"
"https://pncp.gov.br/api/pncp/v1/orgaos/14222277000173/compras/2022/2/itens",3,"14456","Acebrofilina 10 mg/ml","FR"
"https://pncp.gov.br/api/pncp/v1/orgaos/76247386000100/compras/2022/10/itens",10,"6171","DICLOFENACO DIETILAMÔNIO 11,6MG -  Aerossol em tubo de 85ml (60g).","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/13792329000184/compras/2024/45/itens",7,"4562","CARNITINA,  1000 mg/10 ml, frasco com 100 ml.","FRASCO"
"https://pncp.gov.br/api/pncp/v1/orgaos/82951351000142/compras/2024/75/itens",6,"14749","Acao judicial (exclusivo almox.450 e 495) Agomelatina 25mg","Comprimido"
"https://pncp.gov.br/api/pncp/v1/orgaos/12200275000158/compras/2023/60/itens",1,"1385","SILIMARINA 200 MG","UN"
"https://pncp.gov.br/api/pncp/v1/orgaos/36975571000199/compras/2024/356/itens",3,"2034","VIMPOCETINA 5MG CPR-COMPRIMIDO REVESTIDO (VICOG 5MG OU SIMILAR","UNIDADE"
