numeroItem,descricao,materialOuServico,materialOuServicoNome,valorUnitarioEstimado,valorTotal,quantidade,unidadeMedida,orcamentoSigiloso,itemCategoriaId,itemCategoriaNome,patrimonio,codigoRegistroImobiliario,criterioJulgamentoId,criterioJulgamentoNome,situacaoCompraItem,situacaoCompraItemNome,tipoBeneficio,tipoBeneficioNome,incentivoProdutivoBasico,dataInclusao,dataAtualizacao,temResultado,imagem,aplicabilidadeMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaNormal,percentualMargemPreferenciaAdicional,ncmNbsCodigo,ncmNbsDescricao,catalogo,categoriaItemCatalogo,catalogoCodigoItem,informacaoComplementar,endpoint,status_code,clean_descricao,codigo_pdm,endpoint_resultado,endpoint_contratacao
4666022,"Álcool Etílico Hidratado. Composição: Água Deionizada e Desnaturante. Nas versões sem perfume, Herbal e Lavanda. Especificação: Liquido límpido, incolor, volátil e de odor característico de álcool. pH: 6,0 – 8,0 Massa Especifica a 20 °C (kg/m³): 920,8 a 923,0 Teor Alcoólico (° INPM): 45,8º a 46,8° Faixa de temperatura de ebulição: 77 ºC a 101,325 kPa (760 mmHg) Ponto de Fusão / Fulgor: -128 ºC / 35 °C Temperaturas de auto-ignição: > 400 ºC.Teor Alcoólico (°INPM) Graduação alcoólica (INPM): 46,2º Graduação alcoólica (Gay-Lussac): 54º Densidade: 0,9135 g/L MATERIAL DE ACONDICIONAMENTO: Frasco de 1L.  Com registro na Anvisa",M,Material,7.58,60640,8000,Litro,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,FALSE,2024-08-20T09:07:00Z,2024-09-16T08:47:02Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/16781346000104/compras/2024/154/itens,200,alcool etilico hidratado composicao agua deionizada e desnaturante nas versoes sem perfume herbal e lavanda especificacao liquido limpido incolor volatil e de odor caracteristico de alcool ph massa especifica a °c kg m³ a teor alcoolico ° inpm º a ° faixa de temperatura de ebulicao ºc a kpa mmhg ponto de fusao fulgor ºc °c temperaturas de auto ignicao > ºc teor alcoolico °inpm graduacao alcoolica inpm º graduacao alcoolica gay lussac º densidade g l material de acondicionamento frasco de l com registro na anvisa,2259,https://pncp.gov.br/api/pncp/v1/orgaos/16781346000104/compras/2024/154/itens/4666022/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/16781346000104/compras/2024/154
78352,"MORFINA, sulfato de, 0,2mg/mL, solucao injetavel 1mL.",M,Material,2.89,144.5,50,Un,FALSE,3,Não se aplica,NA,NA,7,Não se aplica,1,Em andamento,4,Sem benefício,FALSE,2024-08-21T16:46:04Z,2024-08-21T16:46:04Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/13937149000143/compras/2024/2441/itens,200,morfina sulfato de mg ml solucao injetavel ml,9907,https://pncp.gov.br/api/pncp/v1/orgaos/13937149000143/compras/2024/2441/itens/78352/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/13937149000143/compras/2024/2441
8,Mesna,M,Material,8.13,19512,2400,"Ampola 4,00 ML",FALSE,3,Não se aplica,NA,NA,1,Menor preço,5,Fracassado,5,Não se aplica,FALSE,2024-09-27T07:34:43Z,2024-10-14T15:11:54Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/12474705000120/compras/2024/225/itens,200,mesna,9678,https://pncp.gov.br/api/pncp/v1/orgaos/12474705000120/compras/2024/225/itens/8/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/12474705000120/compras/2024/225
1,Apalutamida,M,Material,98.83,94879.1,960,Comprimido,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,3,Cota reservada para ME/EPP,FALSE,2024-11-25T08:35:07Z,2024-12-27T10:57:21Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/9913/itens,200,apalutamida,19669,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/9913/itens/1/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/9913
4,"Cloridrato De Duloxetina, 60 Mg Cap Dura Lib Retard",M,Material,5.38,11620.8,2160,UNIDADE,FALSE,3,Não se aplica,NA,NA,1,Menor preço,1,Em andamento,4,Sem benefício,FALSE,2024-08-16T14:28:14Z,2024-08-16T14:28:14Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/01409580000138/compras/2024/1522/itens,200,cloridrato de duloxetina mg cap dura lib retard,18630,https://pncp.gov.br/api/pncp/v1/orgaos/01409580000138/compras/2024/1522/itens/4/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/01409580000138/compras/2024/1522
8,Bupivacaína Cloridrato,M,Material,25.56,1712.52,67,"Frasco 20,00 ML",FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,5,Não se aplica,FALSE,2024-08-29T07:10:44Z,2024-10-10T17:58:14Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2593/itens,200,bupivacaina cloridrato,5144,https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2593/itens/8/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2593
6,"(3148572) - DIMETICONA - CONCENTRACAO/DOSAGEM 75 MG/ML,FORMA FARMACEUTICA EMULSAO ORAL,FORMA DE APRESENTACAO FRASCO,VIA DE ADMINISTRACAO ORAL",M,Material,0.01,881,88100,FS 10 ML,FALSE,3,Não se aplica,NA,NA,7,Não se aplica,2,Homologado,4,Sem benefício,FALSE,2024-12-12T08:02:40Z,2025-01-14T16:03:49Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""https://pncp.gov.br/api/pncp/v1/orgaos/10572048000128/compras/2024/1640/itens"",200",dimeticona concentracao dosagem mg ml forma farmaceutica emulsao oral forma de apresentacao frasco via de administracao oral,6216,NA/6/resultados,NA
2,LORATADINA 10 MG,M,Material,0.4322,86452,200000,COMPRIMIDO,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,4,Sem benefício,FALSE,2024-11-12T13:14:09Z,2024-11-12T13:14:10Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/46634564000187/compras/2024/1357/itens,200,loratadina mg,8919,https://pncp.gov.br/api/pncp/v1/orgaos/46634564000187/compras/2024/1357/itens/2/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/46634564000187/compras/2024/1357
5,"DESFERROXAMINA MESILATO, FRASCO/AMPOLA, 500MG, PO LIOFILIZADO PARA SOLUCAO INJETAVEL, UNIDADE 1.0 FRASCO / AMPOLA",M,Material,38.4167,139260.54,3625,UNIDADE 1.0 FRASCO / AMPOLA,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,4,Sem benefício,FALSE,2024-08-14T08:06:14Z,2025-01-13T09:24:59Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/12206/itens,200,desferroxamina mesilato frasco ampola mg po liofilizado para solucao injetavel unidade frasco ampola,9672,https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/12206/itens/5/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/12206
1249010,"DESMOPRESSINA, acetato, 4mcg/ml, solucao injetavel, ampola com 1ml.",M,Material,44.32,4432,100,Un,FALSE,3,Não se aplica,NA,NA,7,Não se aplica,1,Em andamento,4,Sem benefício,FALSE,2024-10-25T12:08:45Z,2024-10-25T12:08:45Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/05816630000152/compras/2024/6843/itens,200,desmopressina acetato mcg ml solucao injetavel ampola com ml,6106,https://pncp.gov.br/api/pncp/v1/orgaos/05816630000152/compras/2024/6843/itens/1249010/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/05816630000152/compras/2024/6843
