"endpoint","numeroItem","descricao","materialOuServico","materialOuServicoNome","valorUnitarioEstimado","valorTotal","quantidade","unidadeMedida","orcamentoSigiloso","itemCategoriaId","itemCategoriaNome","patrimonio","codigoRegistroImobiliario","criterioJulgamentoId","criterioJulgamentoNome","situacaoCompraItem","situacaoCompraItemNome","tipoBeneficio","tipoBeneficioNome","incentivoProdutivoBasico","dataInclusao","dataAtualizacao","temResultado","imagem","aplicabilidadeMargemPreferenciaNormal","aplicabilidadeMargemPreferenciaAdicional","percentualMargemPreferenciaNormal","percentualMargemPreferenciaAdicional","ncmNbsCodigo","ncmNbsDescricao","clean_descricao","codigo_pdm"
"https://pncp.gov.br/api/pncp/v1/orgaos/24464109000148/compras/2023/27",3,"Mepivacaína Cloridrato","M","Material",164.77,3295.4,20,"Tubete 1,80 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-07-24 10:04:32,2023-07-24 10:04:32,TRUE,0,NA,NA,NA,NA,NA,NA,"mepivacaina cloridrato","16486"
"https://pncp.gov.br/api/pncp/v1/orgaos/24464109000148/compras/2023/27",6,"Lidocaína Cloridrato","M","Material",154.44,18532.8,120,"Tubete 1,80 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-07-24 10:04:32,2023-07-24 10:04:32,TRUE,0,NA,NA,NA,NA,NA,NA,"lidocaina cloridrato","17807"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/674",1,"Ceftazidima","M","Material",0,0,13,"Frasco-Ampola ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",4,"Sem benefício",FALSE,2023-05-23 14:00:48,2023-05-23 14:00:48,FALSE,0,NA,NA,NA,NA,NA,NA,"ceftazidima","4730"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",1,"Ácido zoledrônico","M","Material",0,0,250,"Frasco-Ampola",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",5,"Fracassado",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-08-03 22:33:47,FALSE,0,NA,NA,NA,NA,NA,NA,"acido zoledronico","13679"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",2,"Anastrozol","M","Material",0,0,50000,"Comprimido",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"anastrozol","2482"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",3,"Carboplatina","M","Material",0,0,500,"Frasco-Ampola",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"carboplatina","4520"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",4,"Ciclofosfamida","M","Material",0,0,500,"Frasco-Ampola",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",5,"Fracassado",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-08-03 22:33:48,FALSE,0,NA,NA,NA,NA,NA,NA,"ciclofosfamida","4985"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",5,"Ciclosporina","M","Material",0,0,20,"Frasco 50,00 ML",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"ciclosporina","4988"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",6,"Cisplatina","M","Material",0,0,400,"Frasco-Ampola",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"cisplatina","5052"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",7,"Tamoxifeno citrato","M","Material",0,0,50000,"Comprimido",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"tamoxifeno citrato","5066"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",8,"Daunorrubicina","M","Material",0,0,250,"Frasco-Ampola",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"daunorrubicina","6037"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",9,"Gencitabina cloridrato","M","Material",0,0,500,"Frasco-Ampola",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"gencitabina cloridrato","5189"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/602",10,"Gencitabina cloridrato","M","Material",0,0,300,"Frasco-Ampola",TRUE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-05-17 10:01:30,2023-05-17 10:01:30,TRUE,0,NA,NA,NA,NA,NA,NA,"gencitabina cloridrato","5189"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/8986",7,"Álcool Etílico","M","Material",18.34,366.8,20,"Litro ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",1,"Participação exclusiva para ME/EPP",FALSE,2023-08-28 10:01:18,2023-08-28 10:01:18,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico","2259"
