data.numeroControlePNCP,data.srp
18803072000132-1-000165/2024,TRUE
27167410000188-1-000287/2024,TRUE
89814693000160-1-000087/2024,TRUE
13937032000160-1-001824/2024,TRUE
63025530000104-1-003332/2024,TRUE
46523056000121-1-000169/2024,TRUE
95590832000111-1-000012/2024,FALSE
16886871000194-1-000006/2025,FALSE
05802877000110-1-000009/2024,TRUE
05854534000107-1-000177/2024,TRUE
42498600000171-1-008657/2024,TRUE
46965083000154-1-000001/2025,FALSE
42498600000171-1-008580/2024,TRUE
46374500000194-1-009824/2024,TRUE
42498600000171-1-008655/2024,TRUE
18385120000110-1-000102/2024,TRUE
60448040000122-1-000671/2024,TRUE
00394452000103-1-019978/2024,TRUE
07954480000179-1-022845/2024,TRUE
79373767000116-1-000144/2024,TRUE
18080887000130-1-000029/2024,FALSE
94436474000124-1-000360/2024,TRUE
05816630000152-1-008890/2024,TRUE
18080887000130-1-000001/2025,FALSE
01567601000143-1-000237/2024,TRUE
02940523000143-1-000062/2024,TRUE
13937032000160-1-000061/2025,FALSE
08114514000180-1-000001/2025,TRUE
01612375000175-1-000001/2025,TRUE
13937032000160-1-002117/2024,FALSE
13937032000160-1-002192/2024,FALSE
15126437000143-1-000063/2025,TRUE
08761124000100-1-000825/2024,TRUE
01607509000160-1-000005/2025,FALSE
18414615000120-1-000002/2025,TRUE
76208867000107-1-000349/2024,TRUE
76208867000107-1-000291/2024,TRUE
27174093000127-1-000266/2024,TRUE
46523247000193-1-000257/2024,TRUE
18557561000151-1-000151/2024,TRUE
01613123000160-1-000089/2024,TRUE
13937032000160-1-002440/2024,FALSE
13937032000160-1-002443/2024,FALSE
13937032000160-1-002448/2024,FALSE
01005727000124-1-000335/2024,FALSE
13937032000160-1-002450/2024,FALSE
25107525000151-1-000269/2024,TRUE
94707486000146-1-000264/2024,TRUE
47018676000176-1-000261/2024,FALSE
75743377000130-1-000298/2024,FALSE
08095283000104-1-000003/2025,TRUE
13607635000101-1-000001/2025,FALSE
15126437000143-1-003829/2024,TRUE
42498600000171-1-008176/2024,TRUE
18677591000100-1-000413/2024,FALSE
84306620000143-1-000043/2024,TRUE
08761140000194-1-000214/2024,TRUE
18094805000107-1-000023/2024,TRUE
00394452000103-1-021396/2024,TRUE
87612768000102-1-000052/2024,TRUE
46374500000194-1-010288/2024,TRUE
03507415000225-1-000158/2023,TRUE
24082016000159-1-000150/2024,TRUE
46374500000194-1-009676/2024,FALSE
42498600000171-1-007920/2024,TRUE
00394452000103-1-020984/2024,TRUE
46374500000194-1-010381/2024,FALSE
18017442000106-1-000005/2025,FALSE
08761124000100-1-000876/2024,TRUE
08916645000180-1-000172/2024,TRUE
06716880000183-1-000004/2024,FALSE
07868234000102-1-000026/2024,FALSE
14173522000108-1-000028/2024,TRUE
15126437000143-1-003948/2024,TRUE
18659334000137-1-000648/2024,TRUE
45370707000128-1-000370/2024,TRUE
82951351000142-1-000605/2024,TRUE
17914128000163-1-000163/2024,TRUE
15126437000143-1-003181/2024,TRUE
76105519000104-1-000212/2024,TRUE
46596318000188-1-000058/2024,TRUE
45781176000166-1-000944/2024,TRUE
27080605000196-1-000379/2024,TRUE
46523239000147-1-000878/2024,FALSE
46523239000147-1-000879/2024,FALSE
52030830000165-1-000093/2024,FALSE
95595120000195-1-000063/2024,FALSE
44547313000130-1-000140/2024,TRUE
00394544000185-1-000041/2025,TRUE
42498600000171-1-006295/2024,TRUE
15126437000143-1-003640/2024,TRUE
08927105000100-1-000008/2025,TRUE
76002641000147-1-000406/2024,TRUE
10626896000172-1-000519/2024,TRUE
05193057000178-1-000106/2024,FALSE
15126437000143-1-003154/2024,TRUE
13864377000130-1-001795/2024,TRUE
00394700000108-1-000445/2024,TRUE
14109763000180-1-000001/2025,FALSE
08597121000174-1-001529/2024,TRUE
27189505000798-1-000023/2025,TRUE
00394700000108-1-000476/2024,TRUE
07424905000138-1-000301/2024,TRUE
17747940000141-1-000103/2024,TRUE
67995027000132-1-000459/2024,FALSE
05816630000152-1-008891/2024,TRUE
