codigo_pdm,nome_pdm,codigo_br,nome_item
17915,Cloreto De Cálcio,274776,"274776 - Cloreto De Cálcio, Concentração:10%, Uso:Injetável"
17916,Lisina Clonixinato,602967,"602967 - Lisina Clonixinato, Concentração:250 MG"
17916,Lisina Clonixinato,335311,"335311 - Lisina Clonixinato, Concentração:50 MG/ML, Forma Farmacêutica:Solução Injetável"
17916,Lisina Clonixinato,274811,"274811 - Lisina Clonixinato, Dosagem:125 MG"
17896,Mexiletina,609133,"609133 - Mexiletina, Dosagem:150 MG"
17896,Mexiletina,287060,"287060 - Mexiletina, Dosagem:100 MG"
17896,Mexiletina,274481,"274481 - Mexiletina, Dosagem:200 MG"
17907,Sulfato De Zinco,618725,"618725 - Sulfato De Zinco, Composição:Associado Ao Sulfato De Manganês, Sulfato De Cobre, Composição Adicional:Fluoreto De Sódio, Iodeto De Sódio, Concentração:Cerca De 2 Mg/Ml + 8 Mg/Ml + 250 MCG/ML, Concentração 1:600 Mcg/Ml + 600 MCG/ML, Forma Farmaceutica:Solução Injetável, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,477456,"477456 - Sulfato De Zinco, Concentração:66 MG, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,475934,"475934 - Sulfato De Zinco, Concentração:50 MG, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,474130,"474130 - Sulfato De Zinco, Concentração:220 MG, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,472836,"472836 - Sulfato De Zinco, Concentração:20 MG, Forma Farmaceutica:Comprimido Dispersível"
17907,Sulfato De Zinco,463220,"463220 - Sulfato De Zinco, Concentração:4 MG/ML, Forma Farmaceutica:Solução Oral"
17907,Sulfato De Zinco,448043,"448043 - Sulfato De Zinco, Concentração:17,60 MG/ML, Forma Farmaceutica:Solução Oral"
17907,Sulfato De Zinco,433249,"433249 - Sulfato De Zinco, Concentração:4 MG/ML, Forma Farmaceutica:Solução Oral, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,400982,"400982 - Sulfato De Zinco, Concentração:2,5 MG/ML, Forma Farmaceutica:Solução Oral, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,386019,"386019 - Sulfato De Zinco, Concentração:10 MG/ML, Forma Farmaceutica:Solução Oral, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,348387,"348387 - Sulfato De Zinco, Composição:Sal Heptahidratado, Concentração:100 MG/ML, Forma Farmaceutica:Solução Oral, Característica Adicional:Formulação Especialmente Manipulada"
17907,Sulfato De Zinco,311465,"311465 - Sulfato De Zinco, Dosagem:200 MCG/ML, Forma Farmacêutica:Solução Injetável"
17957,Teriparatida,331223,"331223 - Teriparatida, Concentração:250 MCG/ML, Forma Farmacêutica:Solução Injetável, Características Adicionais:Com Sistema De Aplicação"
17958,Papaína,465020,"465020 - Papaína, Concentraçao:15%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,465019,"465019 - Papaína, Concentraçao:12%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,465018,"465018 - Papaína, Composição:Associada À Uréia, Concentraçao:10% + 2%, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,451600,"451600 - Papaína, Concentraçao:5%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,451599,"451599 - Papaína, Concentraçao:4%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,451598,"451598 - Papaína, Concentraçao:3%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,428015,"428015 - Papaína, Concentraçao:3%, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,426275,"426275 - Papaína, Concentraçao:20%, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,404151,"404151 - Papaína, Concentraçao:6%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,398304,"398304 - Papaína, Concentraçao:5%, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,398255,"398255 - Papaína, Concentraçao:10%, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,395846,"395846 - Papaína, Concentraçao:2%, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,390680,"390680 - Papaína, Concentraçao:10%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,387359,"387359 - Papaína, Concentraçao:2%, Forma Farmaceutica:Gel, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,349321,"349321 - Papaína, Concentraçao:10%, Forma Farmaceutica:Em Pasta, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,349320,"349320 - Papaína, Concentraçao:4 %, Forma Farmaceutica:Em Pasta, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,349319,"349319 - Papaína, Concentraçao:2%, Forma Farmaceutica:Em Pasta, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,347116,"347116 - Papaína, Concentraçao:8 %, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,347115,"347115 - Papaína, Concentraçao:4 %, Forma Farmaceutica:Creme, Caracteristica Adicional:Formulação Especialmente Manipulada"
17958,Papaína,333663,"333663 - Papaína, Dosagem:6%, Forma Farmacêutica:Creme, Característica Adicional:Medicamento Especialmente Manipulado"
17988,Cetrorrelix,448653,"448653 - Cetrorrelix, Composição:Sal Acetato, Concentraçao:0,25 MG, Forma Farmacêutica:Pó Liófilo P/ Injetável, Caracteristica Adicional:C/ Conjunto De Aplicação"
17993,Cilostazol,276378,"276378 - Cilostazol, Concentração:100 MG"
17993,Cilostazol,276377,"276377 - Cilostazol, Concentração:50 MG"
17994,Galantamina,463161,"463161 - Galantamina, Concentração:16 MG, Características Adicionais:Liberação Prolongada"
17994,Galantamina,463160,"463160 - Galantamina, Concentração:24 MG, Características Adicionais:Liberação Prolongada"
17994,Galantamina,463159,"463159 - Galantamina, Concentração:8 MG, Características Adicionais:Liberação Prolongada"
17994,Galantamina,315735,"315735 - Galantamina, Composição:Sal Bromidrato, Concentração:16 MG"
17994,Galantamina,315734,"315734 - Galantamina, Composição:Sal Bromidrato, Concentração:24 MG"
17994,Galantamina,276388,"276388 - Galantamina, Composição:Sal Bromidrato, Concentração:8 MG"
17994,Galantamina,399404,"399404 - Galantamina, Composição:Sal Bromidrato, Concentração:12 MG"
17994,Galantamina,399402,"399402 - Galantamina, Composição:Sal Bromidrato, Concentração:4 MG"
17999,Etanercepte,469229,"469229 - Etanercepte, Concentraçao:25 MG, Forma Farmaceutica:Injetável"
17999,Etanercepte,448702,"448702 - Etanercepte, Concentraçao:50 MG/ML, Forma Farmaceutica:Solução Injetável, Características Adicionais:Seringa Preenchida"
17999,Etanercepte,448657,"448657 - Etanercepte, Concentraçao:25 MG, Forma Farmaceutica:Pó Liófilo P/ Injetável + Diluente, Características Adicionais:C/ Conjunto De Aplicação"
18014,Valganciclovir Cloridrato,277184,"277184 - Valganciclovir Cloridrato, Dosagem:450 MG"
18020,Topotecana Cloridrato,321804,"321804 - Topotecana Cloridrato, Dosagem:4 MG, Forma Farmacêutica:Pó Liófilo P/ Injetável"
18022,Fentolamina Mesilato,300407,"300407 - Fentolamina Mesilato, Dosagem:10 MG/ML, Forma Farmacêutica:Solução Injetável"
18022,Fentolamina Mesilato,300409,"300409 - Fentolamina Mesilato, Dosagem:40 MG"
18023,Etodolaco,483772,"483772 - Etodolaco, Concentração:600 MG"
18023,Etodolaco,351481,"351481 - Etodolaco, Concentração:200 MG"
18023,Etodolaco,351480,"351480 - Etodolaco, Concentração:300 MG"
18023,Etodolaco,351479,"351479 - Etodolaco, Concentração:400 MG"
18023,Etodolaco,351478,"351478 - Etodolaco, Concentração:500 MG"
18032,Ergometrina Maleato,277973,"277973 - Ergometrina Maleato, Dosagem:0,2 MG"
