codigo_item,caracteristicas_ocds
270613,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzilpenicilina Benzatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""600000 UI""}]"
270612,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzilpenicilina Benzatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1200000 UI""}]"
627554,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Sinvastatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG + 10 MG""}]"
627553,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Cafeína, Fenilefrina, Dexclorfeniramina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG + 30 MG + 10 MG + 1 MG""}]"
627552,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Cafeína, Clorfeniramina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""324 MG + 32.4 MG + 2 MG""}]"
627551,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Cafeína""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG + 50 MG""}]"
627549,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Comprimido Efervescente""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
627548,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Comprimido Mastigável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; O Ácido Ascórbico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG + 200 MG""}]"
627547,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Comprimido Mastigável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
624643,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG/ML""}]"
608134,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Comprimido Efervescente""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Ác Cítrico, Bicarbonato, Carbonato Sódio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""325 MG + 1413 MG + 1854 MG + 400 MG""}]"
605856,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Cafeína""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG + 50 MG""}]"
604583,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; O Clopidogrel""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG + 75 MG""}]"
601419,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Cafeína""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG + 30 MG""}]"
480351,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Cafeína""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""650 MG + 65 MG""}]"
434955,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Mepiramina, Hidróxido Alumínio, Cafeína""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""150 MG + 15 MG + 150 MG + 50 MG""}]"
381165,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""85 MG""}]"
381069,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Tamponado""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""162 MG""}]"
357060,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Sinvastatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG + 40 MG""}]"
343877,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Tamponado""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
337679,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Liberação Entérica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""300 MG""}]"
337678,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Liberação Entérica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
333801,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; O Dextropropoxifeno""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""325 MG + 50 MG""}]"
295042,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Tamponado""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
293333,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Sinvastatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG + 20 MG""}]"
290848,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""300 MG""}]"
285055,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Tamponado""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""81 MG""}]"
285007,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Isossorbida Mononitrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG + 40 MG""}]"
270968,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Efervescente""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Ác.Cítrico, Bicarbonato, Carbonato De Sódio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""325 MG + 1.575 G + 1.7 G + 400 MG""}]"
270965,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Tamponado""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
270550,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Isossorbida Mononitrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG + 60 MG""}]"
270548,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Tamponado""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""325 MG""}]"
270546,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Efervescente""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico; Ácido Ascórbico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG + 240 MG""}]"
267502,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
267501,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
416731,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato; O Estradiol Cipionato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG + 10 MG/ML""}]"
398703,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/ML""}]"
398702,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""150 MG/ML""}]"
306147,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato; Estradiol Valerato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG + 2 MG""}]"
292228,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""150 MG/ML""}]"
292227,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/ML""}]"
271445,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG""}]"
271444,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""2.5 MG""}]"
267309,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG""}]"
625539,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Injetável""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""seringa preenchida""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""160 MG/ML""}]"
618986,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oftálmica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atropina Sulfato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.00025""}]"
478760,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atropina Sulfato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1 MG/ML""}]"
433795,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atropina Sulfato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""2 MG/ML""}]"
277934,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atropina Sulfato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.5 MG/ML""}]"
271051,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oftálmica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atropina Sulfato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG/ML""}]"
271050,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oftálmica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atropina Sulfato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG/ML""}]"
268214,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Atropina Sulfato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.25 MG/ML""}]"
311143,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Sabonete""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzoato De Benzila""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG/G""}]"
308726,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Emulsão Tópica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzoato De Benzila""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.25""}]"
618326,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Comprimido Mastigável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Albendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
459822,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Comprimido Mastigável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Albendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG""}]"
269628,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Albendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
267507,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Albendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG/ML""}]"
267506,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Albendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG""}]"
626936,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Fólico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MCG/ML""}]"
